title_a,url_a,title_b,url_b,similarity
Junior Sales Assistant - Maltese Speaking,https://outreachrecruitment.net/jobs/junior-sales-assistant-maltese-speaking,Senior Sales Assistant - Maltese Speaking,https://outreachrecruitment.net/jobs/senior-sales-assistant-maltese-speaking,0.95
Baristas,https://outreachrecruitment.net/jobs/baristas,Barista,https://outreachrecruitment.net/jobs/barista-3,0.93
Plumber,https://outreachrecruitment.net/jobs/plumber,Plumbers,https://outreachrecruitment.net/jobs/plumbers,0.93
Delivery Driver - Malta C License,https://outreachrecruitment.net/jobs/delivery-driver-malta-c-license,Delivery Drivers - C1 Malta License,https://outreachrecruitment.net/jobs/delivery-drivers-c1-malta-license,0.91
Site Coordinator,https://outreachrecruitment.net/jobs/site-coordinator,HSSE Coordinator,https://outreachrecruitment.net/jobs/hsse-coordinator,0.88
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,Sales Executive B2B,https://outreachrecruitment.net/jobs/sales-executive-b2b,0.88
Sales Executive B2B,https://outreachrecruitment.net/jobs/sales-executive-b2b,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-2,0.88
Sales Executive B2B,https://outreachrecruitment.net/jobs/sales-executive-b2b,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-3,0.88
Project Manager,https://outreachrecruitment.net/jobs/project-manager,HVAC Project Manager,https://outreachrecruitment.net/jobs/hvac-project-manager,0.86
Maintenance Technician,https://outreachrecruitment.net/jobs/maintenance-technician-2,General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,0.85
Maintenance Technician,https://outreachrecruitment.net/jobs/maintenance-technician,General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,0.85
Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor-2,Restaurant Supervisor in Gozo,https://outreachrecruitment.net/jobs/restaurant-supervisor-in-gozo,0.84
Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor,Restaurant Supervisor in Gozo,https://outreachrecruitment.net/jobs/restaurant-supervisor-in-gozo,0.84
Head Chef - Maltese Cuisine,https://outreachrecruitment.net/jobs/head-chef-maltese-cuisine,Head Chef - Chinese Cuisine,https://outreachrecruitment.net/jobs/head-chef-chinese-cuisine,0.84
Real Estate Agents,https://outreachrecruitment.net/jobs/real-estate-agents,Real Estate Managers,https://outreachrecruitment.net/jobs/real-estate-managers,0.84
Spa Supervisor,https://outreachrecruitment.net/jobs/spa-supervisor,Supervisor,https://outreachrecruitment.net/jobs/supervisor,0.83
Customer Care Agent,https://outreachrecruitment.net/jobs/customer-care-agent,Customer Contact Agent,https://outreachrecruitment.net/jobs/customer-contact-agent,0.83
Driver - Malta C License,https://outreachrecruitment.net/jobs/driver-malta-c-license,Delivery Driver - Malta C License,https://outreachrecruitment.net/jobs/delivery-driver-malta-c-license,0.83
Site Coordinator,https://outreachrecruitment.net/jobs/site-coordinator,Assistance Co-ordinator,https://outreachrecruitment.net/jobs/assistance-co-ordinator,0.82
QA Manager - Construction,https://outreachrecruitment.net/jobs/qa-manager-construction,Project Manager - Construction,https://outreachrecruitment.net/jobs/project-manager-construction,0.82
Heavy Machine Operator,https://outreachrecruitment.net/jobs/heavy-machine-operator,CNC Machine Operator,https://outreachrecruitment.net/jobs/cnc-machine-operator,0.81
Corporate Insurance Associate,https://outreachrecruitment.net/jobs/corporate-insurance-associate,Commercial Insurance Associate,https://outreachrecruitment.net/jobs/commercial-insurance-associate,0.81
Pool Attendants,https://outreachrecruitment.net/jobs/pool-attendants,Room Attendents,https://outreachrecruitment.net/jobs/room-attendents,0.8
Assistance Operations Coordinator,https://outreachrecruitment.net/jobs/assistance-operations-coordinator,Assistance Co-ordinator,https://outreachrecruitment.net/jobs/assistance-co-ordinator,0.79
Kitchen Helper,https://outreachrecruitment.net/jobs/kitchen-helper,Kitchen Porter,https://outreachrecruitment.net/jobs/kitchen-porter,0.79
HVAC Technician,https://outreachrecruitment.net/jobs/hvac-technician,Head of HVAC Technicians,https://outreachrecruitment.net/jobs/head-of-hvac-technicians,0.77
Assistance Co-ordinator,https://outreachrecruitment.net/jobs/assistance-co-ordinator,HSSE Coordinator,https://outreachrecruitment.net/jobs/hsse-coordinator,0.77
Customer Operations Associate,https://outreachrecruitment.net/jobs/customer-operations-associate,Customer Care Associate,https://outreachrecruitment.net/jobs/customer-care-associate,0.77
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,0.77
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-2,0.77
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-3,0.77
Kitchen Helper,https://outreachrecruitment.net/jobs/kitchen-helper,Kitchen Helpers in Gozo,https://outreachrecruitment.net/jobs/kitchen-helpers-in-gozo,0.76
Customer Care Agent,https://outreachrecruitment.net/jobs/customer-care-agent,Customer Care Associate,https://outreachrecruitment.net/jobs/customer-care-associate,0.76
Marine Carpenter,https://outreachrecruitment.net/jobs/marine-carpenter,Marine Turner,https://outreachrecruitment.net/jobs/marine-turner,0.76
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant-2,Client Accounting Manager,https://outreachrecruitment.net/jobs/client-accounting-manager,0.76
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,Client Accounting Manager,https://outreachrecruitment.net/jobs/client-accounting-manager,0.76
Site Coordinator,https://outreachrecruitment.net/jobs/site-coordinator,Sales Office Coordinator,https://outreachrecruitment.net/jobs/sales-office-coordinator,0.75
Sales Office Coordinator,https://outreachrecruitment.net/jobs/sales-office-coordinator,HSSE Coordinator,https://outreachrecruitment.net/jobs/hsse-coordinator,0.75
HR Executive,https://outreachrecruitment.net/jobs/hr-executive-st-julians,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,0.74
HR Executive,https://outreachrecruitment.net/jobs/hr-executive-st-julians,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-2,0.74
HR Executive,https://outreachrecruitment.net/jobs/hr-executive-st-julians,Sales Executive,https://outreachrecruitment.net/jobs/sales-executive-3,0.74
Operations Supervisor,https://outreachrecruitment.net/jobs/operations-supervisor,Spa Supervisor,https://outreachrecruitment.net/jobs/spa-supervisor,0.74
Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor-2,Spa Supervisor,https://outreachrecruitment.net/jobs/spa-supervisor,0.74
Spa Supervisor,https://outreachrecruitment.net/jobs/spa-supervisor,Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor,0.74
Auditor,https://outreachrecruitment.net/jobs/auditor,Audit Senior,https://outreachrecruitment.net/jobs/audit-senior,0.74
Audit Senior,https://outreachrecruitment.net/jobs/audit-senior,Accounts Senior,https://outreachrecruitment.net/jobs/accounts-senior-2,0.74
Quality Engineer,https://outreachrecruitment.net/jobs/quality-engineer,Sales Engineer,https://outreachrecruitment.net/jobs/sales-engineer,0.73
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer,Sales Engineer,https://outreachrecruitment.net/jobs/sales-engineer,0.73
Sales Engineer,https://outreachrecruitment.net/jobs/sales-engineer,Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer-2,0.73
Driver - Malta C License,https://outreachrecruitment.net/jobs/driver-malta-c-license,Delivery Drivers - C1 Malta License,https://outreachrecruitment.net/jobs/delivery-drivers-c1-malta-license,0.73
Purchasing Manager,https://outreachrecruitment.net/jobs/purchasing-manager,Purchasing Officer,https://outreachrecruitment.net/jobs/purchasing-officer,0.72
